"","RT_or_not","t_hash","t_mention","t_sentiment","V5","V6","V7","t_link"
"1",0,1,0,1,0,0,1,1
"2",0,4,1,2,0,0,0,0
"3",0,1,0,2,0,0,1,1
"4",0,2,0,2,0,0,2,1
"5",0,1,0,2,0,0,1,1
"6",0,8,0,2,0,0,1,1
"7",0,6,0,3,0,0,2,1
"8",0,5,0,2,0,0,0,2
"9",0,2,0,1,0,0,2,1
"10",0,2,0,2,0,1,1,1
"11",0,2,0,3,1,0,0,1
"12",0,2,0,3,0,0,2,1
"13",0,2,0,2,0,0,2,1
"14",0,7,0,2,0,0,0,2
"15",0,5,0,2,0,0,0,1
"16",1,1,1,3,0,0,1,2
"17",1,1,1,2,0,0,1,0
"18",0,2,0,3,0,0,0,1
"19",0,2,0,1,1,0,2,1
"20",0,1,1,2,0,0,0,1
"21",0,2,0,1,0,0,1,1
"22",0,4,0,1,0,0,2,1
"23",0,2,0,1,0,0,3,1
"24",0,2,0,1,0,0,1,1
"25",0,3,0,1,1,0,4,1
"26",0,2,0,2,2,0,2,1
"27",0,4,0,2,1,0,1,1
"28",0,4,0,3,0,0,4,1
"29",0,4,0,2,0,0,3,1
"30",1,3,1,2,0,0,1,1
"31",0,1,0,2,2,0,0,2
"32",0,1,0,3,0,0,2,2
"33",0,5,0,2,0,0,0,1
"34",0,2,0,2,0,1,2,1
"35",0,1,0,1,1,1,0,1
"36",0,1,0,2,0,0,0,1
"37",0,1,0,3,0,0,1,1
"38",0,1,0,2,0,0,1,1
"39",0,1,0,2,0,0,1,1
"40",0,1,0,2,0,0,0,1
"41",0,3,0,2,0,0,3,1
"42",0,5,0,2,0,0,1,1
"43",0,3,0,3,0,0,2,2
"44",0,1,0,2,0,1,1,1
"45",0,1,0,2,0,1,0,1
"46",0,4,0,1,0,0,2,1
"47",0,2,0,2,1,0,2,0
"48",0,4,0,2,0,0,0,1
"49",0,4,0,2,0,0,1,1
"50",0,1,0,1,1,1,0,1
"51",0,1,0,2,0,0,0,1
"52",0,4,0,2,0,0,1,1
"53",0,1,0,3,0,0,1,1
"54",0,1,0,1,0,0,0,1
"55",0,1,0,2,1,0,0,1
"56",0,1,0,2,0,0,1,1
"57",0,1,0,2,0,0,1,1
"58",0,1,0,2,0,0,0,1
"59",0,1,0,2,0,0,1,1
"60",0,1,0,2,0,0,0,1
"61",1,3,1,2,1,0,2,2
"62",1,3,1,3,0,0,1,2
"63",0,6,1,1,0,0,2,1
"64",0,5,0,2,0,0,0,2
"65",0,1,0,1,0,0,1,2
"66",0,4,0,1,0,0,2,2
"67",0,2,0,2,0,0,0,2
"68",0,1,3,3,0,0,0,1
"69",0,2,0,2,0,0,0,2
"70",0,1,0,2,0,0,0,1
"71",1,1,1,2,0,1,1,0
"72",0,3,0,2,0,0,0,1
"73",0,1,0,2,0,0,0,1
"74",0,5,0,2,0,0,0,1
"75",0,1,1,3,0,0,0,0
"76",0,1,0,2,0,0,0,1
"77",0,2,0,2,0,0,2,1
"78",0,7,1,3,0,0,1,0
"79",0,3,1,3,0,0,2,2
"80",0,8,0,2,0,0,1,3
"81",0,4,0,2,0,0,2,1
"82",0,9,0,2,0,0,1,3
"83",0,9,0,2,0,0,1,3
"84",0,5,0,2,0,0,0,2
"85",0,9,0,2,0,0,1,3
"86",0,2,0,1,0,0,2,1
"87",0,2,0,1,1,1,4,1
"88",0,9,0,2,0,0,1,3
"89",0,3,0,2,0,0,4,1
"90",0,4,0,2,0,0,2,1
"91",0,7,0,2,0,0,1,3
"92",0,3,0,2,0,1,0,2
"93",0,3,0,2,0,0,0,2
"94",0,3,0,2,0,0,1,2
"95",1,1,1,3,0,0,0,1
"96",0,3,0,2,0,0,0,2
"97",0,3,0,2,0,0,0,2
"98",0,3,0,1,0,0,0,2
"99",0,3,0,2,0,0,2,2
"100",0,3,0,3,0,0,0,2
"101",0,3,0,3,0,0,1,2
"102",0,3,0,2,0,0,0,2
"103",1,3,1,3,0,0,2,1
"104",1,4,1,2,0,0,3,1
"105",1,8,1,2,0,0,1,1
"106",1,2,1,1,0,0,1,2
"107",1,2,1,3,0,0,1,1
"108",0,6,0,2,1,0,1,1
"109",0,1,0,2,0,0,1,0
"110",0,3,0,2,0,0,0,1
"111",0,2,0,3,0,0,1,1
"112",0,2,0,3,0,0,1,1
"113",0,1,0,2,0,0,1,0
"114",0,1,0,2,0,0,0,2
"115",0,1,0,1,0,0,2,1
"116",0,5,0,2,0,0,1,1
"117",1,1,1,3,0,0,2,2
"118",0,7,0,2,0,0,0,2
"119",1,2,1,3,0,0,0,1
"120",0,2,0,1,0,0,3,1
"121",0,3,0,1,0,0,0,2
"122",0,3,0,2,0,0,1,2
"123",0,4,0,2,0,0,1,1
"124",0,3,0,2,0,0,2,2
